customer_name,SYS_Code,SF_Code,district,region,company_type,email,Owner_Phone,lat,long,address,country
Caspademo International Compan,6CCAS001,11i000196sfAAA,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Alazab and Sons,6CLAD001,211i0sd0000j9edbAAA,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Ibuteck Enterprises Ltd,6CIBU002,000PSJqgAAH,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Bisi Ojudun Nigeria Company,6CBIS004,UQRasdasd2AA4,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Demrach Multiservices,6CDEM001,4UeswwfSAAW,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Domkayat Ventures Limited,6CDOM001,511i00p0jAQZAA,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Nzeribe Stores,6CNZE001,0011xsaewsi0000J,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Obasuyi Trading Stores,6COBA005,001100j9fBXAAYade,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Abejide Stores,6CABE001,6Appasd,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Abyfas Nig. Ltd,6CABY001,61i0koweh00j9fBYAA6r,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Adukrem Integrated Serv Ltd,6CADU004,7isasdas0008lAG,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Ameko Multiventure Concepts Ltd,6CAME001,0011i0ok00j9f4jAAAgdtdtddbh,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Benbolfa Trading Store Ltd,6CBEN009,ki0000j9f51AA,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Bumzer Classic Vents,6CBUN002,911i0we0,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Dentobiks Nig Enterpises,6CDEN002,001l000jAUZAA4,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Fatbuks Enterprises,6CFAT002,0011wi00000sAAA,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Festus & Sade Nig Ltd,6CFES002,0011i00000jAUZlAAO,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
Honesty Dot Communication,6CHON003,001i00000jBa9YA,West 1,Lagos & West-I,Distributor,casp@yahoo.com,234552672,3.2453536,5.98635,lagos street,Nigeria
